id,tweet,class,sentiment_intensity,class_intensity,labels
40815,"Loved @Bethenny independence msg on @WendyWilliams, be happy &amp; fulfilled within yourself &amp; positivity will flock to you #happy #independent",fear,low,fear_low,4
10128,@mark_slifer actually maybe we were supposed to die and my donation saved our lives?? #optimism,sadness,high,sadness_high,9
40476,I thought the nausea and headaches had passed but lol I feel awful today,fear,medium,fear_medium,5
20813,"Anger, resentment, and hatred are the destroyer of your fortune today.",anger,high,anger_high,0
40796,new tires &amp; an alarm system on my car. fwm now!,fear,low,fear_low,4
10132,@suavecitamay sparkling water is nice you know I tried it the other day,anger,low,anger_low,1
20186,I am always ready to #smile.,joy,medium,joy_medium,8
20606,Wish I could convince the rest of my children to go to their fucking preschool and elementary schools with fear of gun violence.,anger,high,anger_high,0
20177,Somewhere between  #hope and #despair the day after #meetingmyabuserincourt \n#DVSurvivor,sadness,medium,sadness_medium,11
40113,"@MarGraham I am practically obsessed with it, the very thought of their departure makes me feel both melancholic and grateful.  Safe journey",anger,medium,anger_medium,2
20304,@KatzeAnilothei this amount of greedy mooching makes me snarl.,joy,low,joy_low,7
30755,Feeling like I've had the worst night of sleep ever - not great before the #London to #Brighton #cycle ride for @DMTFYP 🚴100k #apprehension?,joy,medium,joy_medium,8
10623,Howl at the moon with @HorrorSociety at @FatCatChicago next Wednesday the 28th for a FREE double feature of SILVER BULLET and CURSED ,joy,medium,joy_medium,8
30464,@Myahrissavietta I'm cheery now 😘😉,anger,low,anger_low,1
21182,@Bluebelle89 @lsmith855 liking the optimism,anger,low,anger_low,1
40360,Still waiting to see if my @london2012track will make an appearance next week - two months today it was ordered #shocking #badservice,joy,medium,joy_medium,8
21174,@CazuaL_WeaR @ScottInSC looks like a book shaped like a gun to me  #itsagunalright,fear,medium,fear_medium,5
21001,@Idubbbz @LeafyIsHere  I am offended,sadness,medium,sadness_medium,11
30736,im what a 90s tv bully would call 'a nerd' but i would rather shove one thousand nickels into my right earhole than go to new york comic con,sadness,high,sadness_high,9
30370,"@MoneyJay901 hard to tell in your pic. My mistake then. Either way, nothing I said initially was about race. U took it there. #sad #ignorant",anger,medium,anger_medium,2
10411,"I really love the customer service @LifeProof they're always so nice, helpful and cheerful !",joy,low,joy_low,7
40387,Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up #fuming #treatcustomersfairly,anger,low,anger_low,1
10784,@KWAYNTjoia it's exhilarating,sadness,high,sadness_high,9
20502,@FraserKeegan just had a steak pie supper ,anger,low,anger_low,1
20695,Huns are like a box of coffee revels #horrible,joy,medium,joy_medium,8
20199,"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! #relentless",sadness,high,sadness_high,9
10233,"@BIGGKATZ BUT arms (focused rage) is overpowered, it will be getting nerfed. It'll still be stronger than fury though",sadness,high,sadness_high,9
10329,"stg I been in pine bluff all morning and to piss me off even more, my damn shoes came in as a size 4!!!!!! I KNOW I SAID 6🙄🙄🙄🙄 FML",anger,high,anger_high,0
20431,"Anytime @perezed gets near a mic, someone needs to smack him w a bat. @BBTN  #marblesinmouth",joy,medium,joy_medium,8
30681,Sioux Valley wins home competitive #cheer invite with a score of 158. ...Dell Rapids second at 138,fear,low,fear_low,4
30202,@liamch88 yeah! :) playing well #optimism,joy,medium,joy_medium,8
10811,But i'll be a pity. 🐑 #lively,anger,low,anger_low,1
30289,Can we go back 2 weeks and start again ?? This is seriously dreadful,anger,medium,anger_medium,2
40562,Man city's kit is dreadful!,joy,medium,joy_medium,8
20548,"if you have been on depression too u shouldn't be judging him and exposing him to everyone, but helping him",fear,low,fear_low,4
30295,@chencouture LMAO Is it that 'so slutty' hater girl? That video was hilarious. 😂,sadness,medium,sadness_medium,11
20582,@emorottie true sonicsatam was serious and a bit dark. Aosth is like super goofy and Looney toonie to a degree,anger,medium,anger_medium,2
30825,Saga: When all of your devices and teles fail just in time for bake off  #gbbo,anger,low,anger_low,1
10355,Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice #anger #sadness,anger,medium,anger_medium,2
10809,"@LoisJoanneLane Wagging his tail at the praise, he paused, tilting his head as she took the frisbee from him, letting out a playful -",fear,low,fear_low,4
10114,being bitter only hurts yourself lmaooo,joy,medium,joy_medium,8
10422,"categ than GEN &amp;OBC it cost only 100 or nill .i am not against the reservation and i support it,sir minimize the fees #bright fut @PMOIndia",sadness,medium,sadness_medium,11
10393,"Be strong &amp; courageous. Do not be terrified or discouraged, for the LORD your God will be with you wherever you go.",sadness,medium,sadness_medium,11
40005,"listening to the Oblivion score, drinking coffee, researching for new sci-fi animated project.",anger,high,anger_high,0
30079,@MCFCDenver doing the exact same minus the beer sadly,joy,low,joy_low,7
30805,Unruly kids at 8am in the morning #nothanks ripping the flower beds up by the roots while their parents watch #shocking,anger,medium,anger_medium,2
10816,@TELUSsupport any tips on why our wifi is terrible the past week? Slow or dropping out continuously - NW Calgary 😕,joy,medium,joy_medium,8
21176,Watch this amazing live.ly broadcast by @evanhufferd  #musically,sadness,low,sadness_low,10
20230,Liam is too distant makes me mourn 😪,anger,high,anger_high,0
30267,onus is on Pakistan' : MEAIndia after #Uri #terror attack,joy,medium,joy_medium,8
21137,It was an #amazing #start to the first #fall  day. Will it be an #Indiansummer,fear,low,fear_low,4
30633,Only Geo is capable of cheering me up❤️❤️❤️,anger,medium,anger_medium,2
20564,#aliens #zombie #gore #slash #ghost #sith #horror I love it all. 🔪,joy,high,joy_high,6
10750,@FoRDaYS14 😳 chewing what? #smile #arcdental #turlock,fear,high,fear_high,3
10300,@paulkrugman relentless echo chamber - negative comments with lots of reverb. Typical bully behavior.,fear,medium,fear_medium,5
30816,ACT 4 #anxiety &amp; #depression group. @livingwellihc beginning Mon October 17 for 6 weeks. Contact me to register now! #mindfulness #Halifax,anger,medium,anger_medium,2
30437,Watching Paranormal Activity: The Ghost Dimension. I'm not sure how I feel about it yet. ,joy,medium,joy_medium,8
21211,@CP24 And I hope when the police met him at the subway that they took him straight to jail 😕 #awful,fear,low,fear_low,4
30030,I had a dream that I dropped my iPhone 7 and it broke T_T #cry #iPhone7 ,anger,medium,anger_medium,2
20620,I'm afraid she's the goat you libeling people? #afraid #goat #libeling,anger,high,anger_high,0
40042,"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #sad #Autumn",sadness,low,sadness_low,10
30186,"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain,  #iamkratom",joy,medium,joy_medium,8
20964,"This fuck you is boiling up inside, its not gonna be good when I let it out.",sadness,low,sadness_low,10
30167,Controlling #anger is a sign of those #righteous people promised #Paradise in the #Quran in Surah Al Imran verses 133-134 #reward #goodDeed,anger,medium,anger_medium,2
20784,"my boyfriend once forcibly stopped all of my anxiety coping methods at once (holding me, forcing my hands down that kinda stuff) and I --",joy,medium,joy_medium,8
20551,Not setting an alarm to nap &gt;&gt;,anger,low,anger_low,1
40149,Wow the #Denver housing market is #depressing no places to buy in my range 😢 #FML,fear,medium,fear_medium,5
40755,Didn't concede yet but having a nightmare at the back #MUFC,sadness,medium,sadness_medium,11
40528,"Because it was a perfect illusion, but at least now I know what it was.  #ladygaga #iscalming#mysoul",fear,medium,fear_medium,5
40252,You make me breathless.,joy,low,joy_low,7
10142,"North America vs Sweden is the most exhilarating hockey I've ever watched 😅 wow , mackinonns mitts are silky #TeamNA #WCH2016",joy,medium,joy_medium,8
40377,"@HebertofNH any time a man who got paid to throw temper tantrums speaks up, you gotta listen.",sadness,medium,sadness_medium,11
30601,"Hey @AppleSupport, would be nice to have “click to pause” or “pause when window inactive” on animated GIFs for macOS Messages app",joy,low,joy_low,7
30668,@CurtisJobling Yes indeed! We know masses of students would be so excited to see you! We need to get this sorted! ,fear,medium,fear_medium,5
10867,- the joyous occasion of laughing at the ostentatious display of disrespect. Bruce just scoffed at the entire scene. This wasn't Batman’s -,fear,medium,fear_medium,5
20317,"@latenightdaryun pfft, as if anyone undergoing the constant ongoing horror of sapient consciousness has any trust in themself anyway",joy,low,joy_low,7
30590,Damn gud #premiere #LethalWeapon...#funny and #serious,fear,medium,fear_medium,5
30277,@GrxjicTank WHY though! Why did u want to offend Americans?,sadness,medium,sadness_medium,11
10843,"@_jamiebraidwood haha, horrific is all that needs to be said. Glad I'm away to Spain on Sat so missing game 🍹🍕🍺☉☉",sadness,medium,sadness_medium,11
